epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,122.236,0.45209,0.58641,0.82168,0.97136,0.99216,0.995,0.86519,0.4623,0.8856,0.83202,0.00067213,0.00067213,0.00067213
109,123.198,0.48621,0.58817,0.81292,0.97136,0.99216,0.995,0.86519,0.4623,0.8856,0.83202,0.000665057,0.000665057,0.000665057
110,124.404,0.48205,0.54577,0.80392,0.97136,0.99216,0.995,0.86519,0.4623,0.8856,0.83202,0.000657983,0.000657983,0.000657983
111,125.442,0.44327,0.5359,0.82866,0.97136,0.99216,0.995,0.86519,0.4623,0.8856,0.83202,0.000650909,0.000650909,0.000650909
112,126.554,0.48003,0.55592,0.79198,0.97949,1,0.995,0.87845,0.44103,0.77398,0.82143,0.000643836,0.000643836,0.000643836
113,127.549,0.45899,0.58392,0.82238,0.97949,1,0.995,0.87845,0.44103,0.77398,0.82143,0.000636762,0.000636762,0.000636762
114,128.577,0.47909,0.58615,0.79455,0.97949,1,0.995,0.87845,0.44103,0.77398,0.82143,0.000629689,0.000629689,0.000629689
115,129.591,0.48121,0.57841,0.84291,0.97949,1,0.995,0.87845,0.44103,0.77398,0.82143,0.000622615,0.000622615,0.000622615
116,130.682,0.47502,0.65054,0.82489,0.9767,1,0.995,0.89747,0.40143,0.74453,0.81973,0.000615542,0.000615542,0.000615542
117,131.664,0.49885,0.57438,0.80934,0.9767,1,0.995,0.89747,0.40143,0.74453,0.81973,0.000608468,0.000608468,0.000608468
118,132.685,0.54172,0.59146,0.79694,0.9767,1,0.995,0.89747,0.40143,0.74453,0.81973,0.000601395,0.000601395,0.000601395
119,133.697,0.51361,0.55748,0.81937,0.9767,1,0.995,0.89747,0.40143,0.74453,0.81973,0.000594321,0.000594321,0.000594321
120,134.994,0.48937,0.56651,0.81128,0.97183,1,0.995,0.9,0.42253,0.75026,0.82803,0.000587248,0.000587248,0.000587248
121,136.039,0.47338,0.52769,0.82161,0.97183,1,0.995,0.9,0.42253,0.75026,0.82803,0.000580174,0.000580174,0.000580174
122,137.081,0.47566,0.60617,0.81517,0.97183,1,0.995,0.9,0.42253,0.75026,0.82803,0.0005731,0.0005731,0.0005731
123,138.076,0.50291,0.54982,0.80062,0.97183,1,0.995,0.9,0.42253,0.75026,0.82803,0.000566027,0.000566027,0.000566027
124,139.149,0.44393,0.51026,0.81781,0.96716,1,0.995,0.90692,0.4208,0.76915,0.82629,0.000558953,0.000558953,0.000558953
125,140.216,0.4254,0.53754,0.80832,0.96716,1,0.995,0.90692,0.4208,0.76915,0.82629,0.00055188,0.00055188,0.00055188
126,141.214,0.39429,0.53203,0.81949,0.96716,1,0.995,0.90692,0.4208,0.76915,0.82629,0.000544806,0.000544806,0.000544806
127,142.244,0.46583,0.53905,0.79377,0.96716,1,0.995,0.90692,0.4208,0.76915,0.82629,0.000537733,0.000537733,0.000537733
128,143.391,0.40327,0.54541,0.79697,0.9659,1,0.995,0.90623,0.41858,0.72637,0.82474,0.000530659,0.000530659,0.000530659
129,144.43,0.4508,0.58076,0.81906,0.9659,1,0.995,0.90623,0.41858,0.72637,0.82474,0.000523586,0.000523586,0.000523586
